zipcode,StateInfo_state_id
1450,0
1460,0
2703,0
2170,0
2330,0
1844,0
21851,1
5664,2
98052,3
3062,4
10171,5
43050,6
83706,7
37129,8
84111,9
36006,10
27229,11
59102,12
85006,13
4063,14
90007,15
6050,16
46204,17
89139,18
80820,19
78207,20
78789,20
30428,21
33174,22
40220,23
58782,24
97756,25
2110,0
2045,0
2134,0
2067,0
2056,0
2026,0
2127,0
1960,0
2493,0
2301,0
78230,20
2747,0
1886,0
1810,0
2452,0
2148,0
2030,0
2908,26
2481,0
1915,0
6040,16
6070,16
2360,0
2135,0
2119,0
2472,0
2138,0
2048,0
1773,0
1420,0
2343,0
1902,0
2169,0
1901,0
1731,0
1752,0
1890,0
2128,0
2451,0
1803,0
1776,0
2478,0
2072,0
1775,0
2061,0
2132,0
1938,0
2421,0
2176,0
2149,0
2066,0
2324,0
2031,0
2351,0
2155,0
2108,0
1801,0
1730,0
2093,0
2458,0
1701,0
2125,0
1905,0
2081,0
2359,0
2021,0
2446,0
2122,0
2453,0
2154,0
2718,0
1887,0
2189,0
2121,0
2109,0
2050,0
1760,0
2199,0
2027,0
2044,0
2180,0
1721,0
2136,0
1749,0
2130,0
1876,0
2062,0
2043,0
1880,0
1550,0
1864,0
1778,0
2184,0
2152,0
1742,0
2474,0
2171,0
2763,0
1821,0
2129,0
2145,0
2445,0
2346,0
2124,0
1845,0
2191,0
2143,0
2090,0
2302,0
2210,0
1824,0
1040,0
1770,0
2459,0
2126,0
2133,0
1851,0
1013,0
2492,0
5473,2
19444,27
2140,0
2468,0
6033,16
1545,0
6278,16
